date,product_id,sales_channel,region,quantity_sold,total_revenue
2022-02-10,1,Online,North,10,100.00
2022-02-11,2,Offline,South,5,75.00
2022-02-12,3,Online,East,15,200.00
2022-02-13,4,Offline,West,20,300.00
2022-02-14,1,Online,West,12,120.00
2022-02-15,2,Offline,North,8,120.00
2022-02-16,3,Online,South,18,250.00
2022-02-17,4,Offline,East,22,330.00
2022-02-18,1,Online,East,9,90.00
2022-02-19,2,Offline,West,6,90.00
2022-02-20,3,Online,North,11,150.00
2022-02-21,4,Offline,South,25,375.00
2022-02-22,1,Online,South,16,160.00
2022-02-23,2,Offline,East,7,105.00
2022-02-24,3,Online,West,13,175.00
2022-02-25,4,Offline,North,21,315.00
2022-02-26,1,Online,North,8,80.00
2022-02-27,2,Offline,South,4,60.00
2022-02-28,3,Online,East,16,220.00
2022-03-01,4,Offline,West,18,270.00